user_id,create_time,order_id,amount
142074,2018/1/1,4196439032,9399
56927,2018/1/1,4198324983,8799
87058,2018/1/1,4191287379,6899
136104,2018/1/1,4198508313,5999
117831,2018/1/1,4202238313,5399
151069,2018/1/1,3888183440,4548
124094,2018/1/1,4175774836,4298
107268,2018/1/1,4192119481,4298
146768,2018/1/1,4192909363,3999
121834,2018/1/1,4197922462,3988
154068,2018/1/1,4191663914,3899
55156,2018/1/1,4193733866,3719
64562,2018/1/1,4194822758,3598
125593,2018/1/1,4196213552,3588
117760,2018/1/1,4175460346,3499
135673,2018/1/1,4197491569,3488
113584,2018/1/1,4182011436,3399
159480,2018/1/1,4191635389,3399
153742,2018/1/1,4202458687,3349
117957,2018/1/1,4195841311,3099
75849,2018/1/1,4197103430,
136767,2018/1/1,4033881096,2672
97925,2018/1/1,4197939746,2599
122326,2018/1/1,4201905174,2588
92480,2018/1/1,4197166986,2499
62330,2018/1/1,4191191184,2468
64655,2018/1/1,4192592185,2344
76294,2018/1/1,4136493270,2278
107527,2018/1/1,4193744860,2199
100323,2018/1/1,3925489681,2198
89435,2018/1/1,3881000307,2198
151826,2018/1/1,4192993873,2099
65315,2018/1/1,4179320958,1999
150505,2018/1/1,4192058594,1999
70555,2018/1/1,3805124565,1988
86102,2018/1/1,4191746669,1899
118357,2018/1/1,4196469613,1699
121566,2018/1/1,4197508017,1348
67800,2018/1/1,4189176807,1200
83610,2018/1/1,4202746015,1198
162424,2018/1/1,4199093714,1139
94579,2018/1/1,4195626781,1028
59009,2018/1/1,4199468462,999
96211,2018/1/1,4191211496,999
138800,2018/1/1,3767322038,998
140249,2018/1/1,4182012608,945
60051,2018/1/1,4201913229,939
102447,2018/1/1,3554296002,799
119972,2018/1/1,4197665777,799
128492,2018/1/1,4159029426,791
101702,2018/1/1,4191252529,666
149672,2018/1/1,4202472738,638
144178,2018/1/1,4135901830,539
68696,2018/1/1,4199773703,499
76814,2018/1/1,4203250207,499
114062,2018/1/1,4196447326,499
140523,2018/1/1,4194468293,399
71042,2018/1/1,4202102813,399
87761,2018/1/1,4190196783,369
120846,2018/1/1,4172755482,369
101625,2018/1/1,4084206268,359
158855,2018/1/1,4192179920,349
82539,2018/1/1,4190628159,339
140699,2018/1/1,4185174793,338
108549,2018/1/1,4200551598,299
108556,2018/1/1,4201338166,299
57113,2018/1/1,4191632315,279
94774,2018/1/1,4171595969,268
152996,2018/1/1,3841786689,199
67699,2018/1/1,4168782787,199
86124,2018/1/1,4203270246,199
64909,2018/1/1,4107321924,198
103714,,4136159682,189
162143,2018/1/1,4198064688,189
66091,2018/1/1,4192288308,179
116476,2018/1/1,4194367262,179
